Density_min-max,density_o_min-max,Altitude_min-max,Kp_min-max,DSTIndex_min-max,Flag(***)_min-max,apindex_min-max,la_min-max,lo_min-max,local_solar_time_min-max,Unnamed: 0,Density,density_o,Altitude,la,lo,local_solar_time,Magnitude of Average Field Vector,ProtonDensity ,Kp,DSTIndex,Flag(***),apindex
0.261957731,1.27E-46,0.303477329,0.277108434,0.80876494,0,0.05027933,0.989248248,5.15E-32,0.816901829,98,1.30E-13,1.84E-13,447861.515,87.31702658,-128.5278896,19.60562213,3.3,2.4,23,-6,-1,9
0.263070078,1.26E-46,0.303354905,0.277108434,0.80876494,0,0.05027933,0.99641299,3.99E-32,0.849672817,99,1.50E-13,1.83E-13,447855.825,87.36243348,-140.0984369,20.39211341,1.6,3.2,23,-6,-1,9
0.263681869,1.22E-46,0.303264117,0.204819277,0.784860558,0,0.033519553,0.985634846,2.81E-32,0.881991424,100,1.61E-13,1.79E-13,447851.6054,87.29412647,-151.8318486,21.16774769,2.1,2.9,17,-12,-1,6
0.26240267,1.20E-46,0.305668158,0.204819277,0.772908367,0,0.033519553,0.978503086,3.36E-31,0.800807425,101,1.38E-13,1.77E-13,447963.3398,87.2489286,155.6993901,19.21936255,2.6,3.3,17,-15,-1,6
0.261568409,1.21E-46,0.3051144,0.240963855,0.792828685,0,0.039106145,0.875919872,2.90E-31,0.737217416,102,1.23E-13,1.78E-13,447937.6024,86.59880252,109.564362,17.69322649,3.7,3.4,20,-10,-1,7
0.261290323,1.21E-46,0.305658801,0.240963855,0.792828685,0,0.039106145,0.994706653,3.24E-31,0.83236968,103,1.18E-13,1.78E-13,447962.9049,87.35161949,143.6936716,19.97684469,3.7,3.4,20,-10,-1,7
0.259632925,1.21E-46,0.303274735,0.204819277,0.80876494,0,0.033519553,0.993311818,3.12E-31,0.865173293,104,8.82E-14,1.78E-13,447852.0989,87.34277965,132.1348207,20.76411893,3.2,3.7,17,-6,-1,6
0.262569522,1.18E-46,0.301967596,0.204819277,0.824701195,0,0.033519553,0.974307259,3.00E-31,0.896544828,105,1.41E-13,1.75E-13,447791.346,87.22233734,120.0604163,21.51702385,3.5,3.1,17,-2,-1,6
0.260272525,1.01E-46,0.300175278,0.036144578,0.836653386,0,0.011173184,0.989596908,2.48E-31,0.815837808,106,9.97E-14,1.58E-13,447708.0431,87.31923623,67.76332133,19.58008603,2,4.6,3,1,-1,2
0.261902113,1.12E-46,0.299207989,0.036144578,0.828685259,0,0.011173184,0.99657993,2.36E-31,0.848705273,107,1.29E-13,1.69E-13,447663.0857,87.36349147,56.22741908,20.36889272,4.3,4.2,3,-1,-1,2
0.264516129,1.05E-46,0.302477237,0.036144578,0.828685259,0,0.011173184,0.985385994,2.25E-31,0.881109637,108,1.76E-13,1.62E-13,447815.033,87.29254936,44.52479341,21.14658514,4.3,3.3,3,-1,-1,2
0.262347052,1.06E-46,0.302640722,0.036144578,0.824701195,0,0.011173184,0.979368803,1.72E-31,0.799923437,109,1.37E-13,1.63E-13,447822.6314,87.25441512,-7.94483136,19.19814718,4.4,3.7,3,-2,-1,2
0.258898776,1.11E-46,0.301051682,0.240963855,0.824701195,0,0.039106145,0.994695502,1.60E-31,0.831425938,110,7.50E-14,1.68E-13,447748.7764,87.35154882,-19.97213501,19.95419524,4,4.3,20,-2,-1,7
